month,WP,EP,NAT,NI,SH,,WP_week1,WP_week2,WP_week3,WP_week4,WP_week5,WP_week6,WP_week7,WP_week8,,EP_week1,EP_week2,EP_week3,EP_week4,EP_week5,EP_week6,EP_week7,EP_week8,,NAT_week1,NAT_week2,NAT_week3,NAT_week4,NAT_week5,NAT_week6,NAT_week7,NAT_week8,,SH_week1,SH_week2,SH_week3,SH_week4,SH_week5,SH_week6,SH_week7,SH_week8,,NI_week1,NI_week2,NI_week3,NI_week4,NI_week5,NI_week6,NI_week7,NI_week8,,,,,
Jan,1.14,0.45,0.46,0.17,36.2,,0.27,0.77,0.68,1.13,1.37,1.31,1.59,1.67,,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.03,,0.01,0.09,0.12,0.23,0.48,0.36,0.37,0.5,,12.63,23.55,26.19,26.69,27.17,27.49,27.61,26.88,,0.1,0.21,0.11,0.1,0.11,0.13,0.09,0.07,,,,,
Feb,0.62,0,0,0,44.69,,0.15,0.55,0.62,0.55,0.52,0.62,0.65,0.63,,0,0.02,0.05,0.05,0.03,0.01,0.04,0.04,,0,0.01,0.03,0.07,0.14,0.18,0.16,0.18,,16.52,27.36,26.28,28.6,30.06,31.62,31.4,31.34,,0.02,0.07,0.05,0.02,0.03,0.06,0.02,0.03,,,,,
Mar,3.94,0,0,0,46.44,,0.88,1.01,1.08,1.2,1.54,1.58,1.44,1.5,,0,0.01,0.07,0.07,0.07,0.06,0.06,0.06,,0,0.02,0.05,0.05,0.11,0.11,0.07,0.14,,15.79,28.05,30.84,31.63,33.4,34.02,35.13,35.37,,0.14,0.64,0.15,0.17,0.19,0.18,0.08,0.05,,,,,
Apr,8.14,0,0.2,1.01,22.47,,1.41,2.22,3.42,4.39,4.5,4.99,4.75,5.19,,0,0.04,0.03,0.07,0.05,0.06,0.05,0.05,,0.01,0.11,0.18,0.13,0.15,0.17,0.1,0.11,,4.41,10.22,13.69,15.64,16.48,16.49,18.24,17.65,,0.7,1.51,1.7,1.41,1.21,1.22,0.76,0.81,,,,,
May,15.15,4.51,0.64,4.62,2.79,,4.13,7.16,10.02,13.52,13.32,12.59,12.64,12.28,,0.6,0.97,1,0.77,0.84,0.64,0.56,0.39,,0.2,1.1,0.83,0.69,0.61,0.84,0.62,0.5,,0.45,1.71,2.66,3.03,3.18,3.76,4.21,4.77,,1.24,3.65,4.18,3.79,3.62,3.24,3.63,3.64,,,,,
Jun,12.36,10.01,2.03,2.23,0.56,,4.52,7.53,12.2,17.92,21.59,21.49,22.51,23.04,,2,1.56,1.17,1.58,1.96,2.33,2.15,2.02,,1.27,4.28,1.92,1.58,1.67,1.82,1.86,1.53,,0.06,0.16,0.36,0.46,0.46,0.66,0.61,0.73,,1.05,1.09,1.42,1.57,1.57,1.5,1.87,2.12,,,,,
Jul,39.62,23.5,8.52,0.07,0.24,,13.59,21.78,26.71,31.73,34.92,32.94,30.97,31.95,,4.99,6.37,3.1,2.35,3.08,4.61,5.08,4.55,,1.3,2.59,3.02,3.39,3.52,3.96,4.09,4.08,,0.14,0.16,0.12,0.15,0.17,0.09,0.13,0.15,,0.09,0.62,0.78,0.72,0.57,0.56,0.58,0.6,,,,,
Aug,57.34,38.75,27.69,0,0.08,,16.82,32.19,34.22,35.91,36.69,35.9,36.05,37.61,,6.37,8.74,4.85,3.73,3.73,4.5,5.48,5.9,,5.38,9.64,10.97,9.58,9.44,8.72,9.18,9.52,,0.06,0.07,0.07,0.08,0.04,0.09,0.11,0.1,,0.04,0.51,0.79,0.91,0.85,0.77,0.65,0.58,,,,,
Sep,60.67,26.62,66.11,0.22,0.29,,19.2,32.32,33.37,35.65,37.39,41.39,40.25,39.51,,5.88,6.77,3.75,2.77,3.1,4.36,6.48,7.43,,14.14,16.02,18.79,16.93,13.98,12.21,12.07,12.52,,0.04,0.06,0.09,0.11,0.1,0.1,0.11,0.1,,0.49,1.65,2.19,2.81,2.42,2.1,1.79,1.97,,,,,
Oct,50.7,19.32,25.16,5.82,1.71,,15.9,25.61,29.06,32.61,37.23,42.06,39.92,37.64,,3.04,3.43,3.24,2.73,2.63,3.9,6.43,7.94,,5.01,11.39,10.75,9.51,8.51,8.67,8.23,9.39,,0.38,0.41,0.57,0.77,0.79,0.76,0.81,1.13,,3.1,6.85,4.93,4.66,4.09,4.08,3.68,4.23,,,,,
Nov,19.55,3.13,5.65,4.54,7.43,,4.42,8.41,12.48,17.79,21.87,23.24,23.64,21.81,,0.4,0.49,0.54,0.51,0.43,0.79,1.13,1.55,,0.83,3.16,3.57,3.73,4.15,4.38,5.05,5.41,,0.84,2.31,3.51,4.55,4.87,4.56,4.38,4.4,,1.89,4.92,3.21,3.17,2.96,2.89,2.79,2.82,,,,,
Dec,12.14,0.06,1.18,3,22.41,,2.05,4.15,5.67,6.87,7.85,8.24,8.09,7.52,,0.01,0.05,0.02,0.07,0.06,0.08,0.1,0.1,,0.02,0.38,0.77,0.97,1.32,1.6,1.52,1.21,,4.95,10.88,13.7,14.31,15.06,15.31,14.66,14.89,,0.71,1.76,1.3,0.86,0.93,1.04,1.11,1.06,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
